medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
D88C2B9D35512C64D36186BA483390AB,70211D5E293D6F009DC28965639A2EC2,VTS,1,,2013-01-30 13:29:00,2013-01-30 13:34:00,2,300,0.83,-73.966225,40.773491,-73.974068,40.762989000000005,CSH,5.5,0.0,0.5,0.0,0.0,6.0
11255D0D604A3A006072C57DE81D7ED2,7F42CD68633AD542349E570955C1A892,CMT,1,Y,2013-01-24 09:07:50,2013-01-24 09:12:45,1,295,0.7,-73.988007,40.763073,-73.979424,40.759312,CSH,5.5,0.0,0.5,0.0,0.0,6.0
58A9ED83D9C9C7481B87ED554AEC24C4,276D091AF000D1CE07364E969AC7D00B,VTS,1,,2013-01-07 15:11:00,2013-01-07 15:22:00,2,660,2.54,-73.993042,40.702988,-73.993668,40.721142,CRD,11.5,0.0,0.5,2.5,0.0,14.5
3B23D798E65E66E9E1D81D07B97B630D,CC05618EFA21B1EF07D8337B2F488858,CMT,1,Y,2013-01-23 21:53:23,2013-01-23 22:03:31,1,607,1.2,-73.991699,40.750023,-73.98455799999999,40.759678,CSH,8.0,0.5,0.5,0.0,0.0,9.0
9E0FF4A265C054381E44CC424E964D3E,A4D2B24953883B340F62BD1D41E72AB4,VTS,1,,2013-01-04 02:12:00,2013-01-04 02:22:00,5,600,3.92,-73.97063399999999,40.763111,-73.911568,40.761368,CSH,13.5,0.5,0.5,0.0,0.0,14.5
D28CAE348FB9021E1882E945E233D0FA,716AF3AEAF1DFC2C2493CEA7F86E4EF9,CMT,1,N,2013-01-28 07:40:04,2013-01-28 08:00:28,1,1223,6.4,-73.990311,40.702507000000004,-73.980751,40.753571,CRD,21.5,0.0,0.5,2.0,0.0,24.0
3963F8671314363BD41AF7C9B356E6FE,9CA92CCAB9DDE8D3E788170068FDA451,CMT,1,N,2013-01-01 08:37:03,2013-01-01 08:42:45,3,342,1.3,-73.972893,40.756557,-73.99026500000001,40.751301,CSH,6.5,0.0,0.5,0.0,0.0,7.0
E3B9F52165B0F6205F0B69CB54D4AAC2,89F2C96DD0B7160C0ED551E2CE83D313,CMT,1,N,2013-01-19 08:32:02,2013-01-19 08:37:23,2,320,1.0,-73.986267,40.752972,-74.001274,40.756985,CSH,5.5,0.0,0.5,0.0,0.0,6.0
1EBF49AEA3D200BCFDE2404A2A1410BB,7B96988415AF4DC5055646CE705BCE7E,CMT,1,N,2013-01-11 00:21:44,2013-01-11 00:31:10,3,566,3.1,-74.001305,40.731228,-73.985229,40.767821999999995,CSH,11.5,0.5,0.5,0.0,0.0,12.5
2D9AC27635BB349AB9F4DBB3A9AC75A3,91239FA777BE30187242CC5FF9268CA2,VTS,1,,2013-01-20 02:31:00,2013-01-20 02:55:00,1,1440,5.62,-74.00052600000001,40.737343,-73.95636,40.655231,CRD,21.0,0.5,0.5,5.38,0.0,27.38
DEF04DB0FA465C0300D5F0751D7C724E,D57EC7DC90ABE617698D3FF9E717C95C,VTS,1,,2013-01-09 20:45:00,2013-01-09 20:57:00,1,720,2.88,-73.973557,40.759659,-74.006493,40.735802,CRD,11.0,0.5,0.5,0.5,0.0,12.5
14A45A1EAE619E175194F14EA4E65AC2,856397F5B1CCB5DA44DDBF0EF1F1DE2D,VTS,1,,2013-01-29 06:54:00,2013-01-29 06:57:00,2,180,0.67,-73.977425,40.755779,-73.97049,40.765175,CRD,4.0,0.0,0.5,1.0,0.0,5.5
B0EF002128E0E7F48F084E61341E83EE,15B711EFF97FB99BE14C7A2387892867,CMT,1,N,2013-01-10 15:32:12,2013-01-10 15:50:46,2,1113,2.5,-73.97090899999999,40.758408,-74.001801,40.746016999999995,CRD,13.0,0.0,0.5,2.7,0.0,16.2
16586DE4A6979201C5E529E782219D53,FA815AA3DC18FA5F58AB107A41C05CC7,VTS,1,,2013-01-10 17:12:00,2013-01-10 17:28:00,1,960,2.77,-73.95459699999999,40.783958,-73.96109,40.811852,CRD,13.0,1.0,0.5,3.0,0.0,17.5
329F1DEC4D21AE3632FC59359966E4C2,BE4BE4A7981941A3D40664C94B68E405,CMT,1,N,2013-01-16 16:27:18,2013-01-16 16:36:09,1,531,0.6,-73.984268,40.749226,-73.995018,40.754539,CSH,7.0,1.0,0.5,0.0,0.0,8.5
6C837CE001AB76E2E95A3E362B5C74B8,B3843A898999683E8D08DAAF387DB450,VTS,1,,2013-01-28 15:10:00,2013-01-28 15:19:00,2,540,1.5,-74.006012,40.739906,-73.990845,40.755745000000005,CSH,7.5,0.0,0.5,0.0,0.0,8.0
CC9C6C35BC5BE980A0AC1D5DF3BF2911,20C20B8E134E0CCA156C4474BFEF2351,VTS,1,,2013-01-22 08:49:00,2013-01-22 08:57:00,2,480,0.97,-73.99114200000001,40.732788,-73.987495,40.743118,CRD,7.0,0.0,0.5,2.1,0.0,9.6
54E0A7E84EAFDF6D0C70DC8E8A272FD9,6FB0B9EA44C28EF6E5CEA27955C6B498,VTS,1,,2013-01-09 13:07:00,2013-01-09 13:11:00,5,240,0.92,-73.99118,40.727897999999996,-73.994499,40.736431,CSH,5.5,0.0,0.5,0.0,0.0,6.0
588E107B0C3E2B25943179B3891D8804,60115D922D824F1885A5DA18BDFE8159,CMT,1,N,2013-01-06 00:50:52,2013-01-06 00:58:23,1,450,1.7,-73.97177099999999,40.794399,-73.94648000000001,40.792271,CSH,8.0,0.5,0.5,0.0,0.0,9.0
262D41351DEDE03A185C78CFB51022C0,14BA17C349C90A92FB962D35A8F6E55B,VTS,1,,2013-01-21 21:17:00,2013-01-21 21:28:00,5,660,2.85,-73.993752,40.73447,-73.97221400000001,40.760582,CSH,11.5,0.5,0.5,0.0,0.0,12.5
0FA6EBB11D068BB692BAD1AD2A833565,056ED55FEDC93AD49C9BADE190D10803,CMT,1,N,2013-01-07 23:30:11,2013-01-07 23:32:32,1,140,0.5,-73.980118,40.745869,-73.98620600000001,40.740219,CSH,4.0,0.5,0.5,0.0,0.0,5.0
FEBD33521DA40D3FECC7FBF235CB9274,0F99E26073CA275464B85F27FA234E65,CMT,1,N,2013-01-16 14:05:31,2013-01-16 14:22:26,1,1015,2.2,-73.994293,40.752266,-73.998512,40.732182,CRD,12.5,0.0,0.5,1.0,0.0,14.0
4BEBC6BDE13F04FF079878114158D223,EA43110330AC3E0EE5623B3E495157F2,VTS,1,,2013-01-22 14:31:00,2013-01-22 14:52:00,1,1260,1.74,-73.974503,40.755753000000006,-73.994598,40.750381,CRD,14.0,0.0,0.5,2.8,0.0,17.3
F7DE1E94C8E642FA86808507395789AD,F68B6C855B38CD85927444C0376E5D4C,VTS,1,,2013-01-11 16:36:00,2013-01-11 17:10:00,4,2040,5.93,-74.002434,40.728924,-73.99039499999999,40.664928,CRD,23.5,1.0,0.5,4.9,0.0,29.9
FE047F5FD5B40DABD7330676073F0769,5E08CA188A6778B2A356677E002B04DE,VTS,1,,2013-01-21 20:51:00,2013-01-21 20:57:00,1,360,1.48,-73.994843,40.750431,-73.980591,40.763725,CRD,7.0,0.5,0.5,1.5,0.0,9.5
